"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-9.29731160014494,1.47424398219059,-6.3064945236066,2.8542607356979e-10,-12.1868298052385,-6.40779339505139
"noncore_ratio",4.90793984858197,1.57367721444653,3.11877162834065,0.00181606661147936,1.82353250826678,7.99234718889716
"income_ratio",-13.9755280063988,3.69794261816404,-3.7792711919736,0.000157288048588329,-21.2234955380003,-6.72756047479724
"log_age",-0.53926925535894,0.232540216500581,-2.31903652397947,0.0203930560148436,-0.995048079700079,-0.0834904310178012
"growth_cat2",-1.20903806294413,0.789611973556239,-1.53118000161381,0.125724911915819,-2.75667753111436,0.338601405226101
"growth_cat3",-16.7226645801136,977.441341019728,-0.0171086119220898,0.986349968598346,-1932.50769297878,1899.06236381855
"growth_cat4",-2.14723660372117,1.05920413079661,-2.02721698423351,0.0426402269533247,-4.22327670008252,-0.0711965073598222
"growth_cat5",-1.16668200528303,0.624493609005174,-1.86820487585385,0.0617335194280205,-2.39068947893318,0.0573254683671065
"gdp_growth_3years",-7.61909413286948,6.80293869158841,-1.11997101227595,0.262726115065248,-20.9528539683828,5.7146657026438
"inf_cpi_3years",14.222690492577,10.0703785525325,1.41232928021362,0.157853028836729,-5.51525147038682,33.9606324555407
"noncore_ratio:income_ratio",-1.31346287730972,6.61699227665152,-0.198498475197614,0.842655077632825,-14.2827677395467,11.6558419849273
