"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-0.0020614377513068,0.00486621560779628,-0.423622362314593,0.671844717617817,-0.0115992203425875,0.00747634483997391
"noncore_ratio",-0.0795652060621746,0.0984575204083448,-0.808117101996721,0.419030502446578,-0.27254194606253,0.113411533938181
"surplus_ratio",-0.058053495494966,0.00809120155532342,-7.17489177571791,7.42852864994288e-13,-0.0739122505433999,-0.042194740446532
"profit_shortfall",0.01404363413282,0.00468291207934162,2.99891048451938,0.00271200985284212,0.00486512645731047,0.0232221418083296
"emergency_borrowing",0.866392975061987,0.139802950646496,6.19724384253333,5.8315374091793e-10,0.592379191794855,1.14040675832912
"loan_ratio",0.0322524790551543,0.00665563558988822,4.84589016624571,1.26764884709663e-06,0.0192074332989734,0.0452975248113352
"leverage",-0.0779544031329976,0.00688804296074535,-11.3173514708396,1.26142274458248e-29,-0.0914549673360585,-0.0644538389299367
"log_age",0.0114566699641684,0.00131674385718569,8.70075823908152,3.48645631788534e-18,0.00887585200408442,0.0140374879242523
"gdp_growth_3years",-0.00983300081194418,0.00848555540650923,-1.15879283569362,0.246551188419341,-0.0264646894087023,0.00679868778481391
"inf_cpi_3years",-0.1336082912407,0.0108848169534909,-12.2747393742667,1.54005733069626e-34,-0.154942532469542,-0.112274050011858
"noncore_ratio:surplus_ratio",0.233386342711846,0.249646563199643,0.934867036503947,0.349865433280422,-0.255920921159455,0.722693606583147
"noncore_ratio:profit_shortfall",-0.194965541436722,0.312140340502073,-0.624608601128334,0.53223340622932,-0.806760608820784,0.416829525947341
"surplus_ratio:emergency_borrowing",-1.34977824046971,0.415472705807587,-3.24877716779504,0.00116048060498082,-2.16410474385258,-0.535451737086842
"profit_shortfall:emergency_borrowing",0.718211322214427,0.348813953765264,2.05900972269518,0.0395031576012329,0.0345359728345085,1.40188667159434
