"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.0149945393785622,0.00175494335256569,8.54417286839518,1.31087106714758e-17,0.0115548504075335,0.018434228349591
"noncore_ratio",0.529926258165163,0.0355997229254891,14.885684904748,4.57089895030436e-50,0.460150801231204,0.599701715099122
"surplus_ratio",-0.0117547986179065,0.00164659624269663,-7.13884698209661,9.46982500495218e-13,-0.0149821272535919,-0.00852746998222107
"loan_ratio",0.00266819611986863,0.00150149744563595,1.77702341593963,0.075567161624745,-0.000274738873577832,0.0056111311133151
"leverage",-0.0310532198058736,0.00420727766801588,-7.3808344150763,1.58408301143994e-13,-0.0392994840351847,-0.0228069555765624
"log_age",0.00130055762644715,0.000364926145042771,3.56389270572741,0.000365550601120538,0.000585302382163322,0.00201581287073098
"growth_cat2",-0.00943699149065832,0.000936698232907661,-10.0747403583376,7.31818217105391e-24,-0.0112729200271573,-0.0076010629541593
"growth_cat3",-0.0101501902678587,0.000893564475755514,-11.3592141846023,6.9365794304554e-30,-0.0119015766403395,-0.00839880389537791
"growth_cat4",-0.0108354031868192,0.0008825776865571,-12.2769965203717,1.26872436061986e-34,-0.0125652554524712,-0.00910555092116733
"growth_cat5",-0.0114770184051454,0.000945440068044745,-12.1393399677685,6.87146185338464e-34,-0.0133300809385131,-0.00962395587177766
"gdp_growth_3years",0.0205190331538711,0.00238239607654617,8.61277155208301,7.22402830748103e-18,0.0158495368438406,0.0251885294639016
"inf_cpi_3years",-0.00635625388576132,0.000755096744549857,-8.41780067473412,3.88161917861992e-17,-0.00783624350507904,-0.0048762642664436
"noncore_ratio:surplus_ratio",-0.844194594598607,0.0740061561025157,-11.4070861000969,4.00835699440128e-30,-0.989246660559537,-0.699142528637676
