"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.00412899482768706,0.00389049289446555,1.06130378327147,0.288561644956458,-0.00349637124546542,0.0117543609008395
"noncore_ratio",0.283363823705963,0.197031901724767,1.43816215153723,0.150399989584156,-0.10281870367458,0.669546351086505
"surplus_ratio",-0.0258427125446534,0.00498333197482257,-5.18583001799183,2.16651821938455e-07,-0.0356100432153056,-0.0160753818740012
"profit_shortfall",-0.00640727621174821,0.00474008312380142,-1.35172233152944,0.176475822065849,-0.015697839134399,0.00288328671090258
"emergency_borrowing",0.299199071094953,0.225181417464708,1.32870231684125,0.183957766448896,-0.142156507135874,0.74055464932578
"loan_ratio",0.0168848092291129,0.00495612594791286,3.40685636454083,0.000658143651391687,0.00717080237120368,0.0265988160870221
"leverage",-0.0610550288394508,0.00567246196710437,-10.7634091146878,5.83419793647043e-27,-0.0721730542949754,-0.0499370033839262
"log_age",0.0059713096537243,0.0010302649473878,5.79589713196043,6.87350758787229e-09,0.00395199035684422,0.00799062895060439
"gdp_growth_3years",-0.00527265850846285,0.00617383957281891,-0.854032315915105,0.393094888517386,-0.0173733840711879,0.00682806705426221
"inf_cpi_3years",-0.0770807161365891,0.00917122496055999,-8.40462604156671,4.50710738313704e-17,-0.0950563170592867,-0.0591051152138915
"noncore_ratio:surplus_ratio",-0.681059043354367,0.523172595558947,-1.30178654068594,0.193000805720743,-1.7064773306499,0.34435924394117
"noncore_ratio:profit_shortfall",0.106182099366165,0.392314647881558,0.270655454593738,0.786658171392327,-0.662754610481689,0.87511880921402
"surplus_ratio:emergency_borrowing",0.0986558059990449,0.585058699003714,0.16862548350626,0.866092535683935,-1.04805924404823,1.24537085604632
"profit_shortfall:emergency_borrowing",0.615817234595175,0.451168610709397,1.36493811842737,0.172284215346935,-0.268473242395243,1.50010771158559
