"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-7.24080392965086,0.162388962243413,-44.5892616691351,0,-7.55908629564795,-6.92252156365377
"noncore_ratio",6.58072409109835,0.199844744765236,32.9291825953639,8.40349924611952e-238,6.18902839135849,6.97241979083821
"income_ratio",-18.2594325031417,1.20420214587764,-15.1630958021869,6.20731677231694e-52,-20.6196687090619,-15.8991962972216
"log_age",-0.255884831225077,0.0251440990598351,-10.1767349315699,2.5187096277118e-24,-0.305167265382354,-0.206602397067801
"growth_cat2",-1.05062107572556,0.0862073406415941,-12.1871416970569,3.63964418354678e-34,-1.21958746338309,-0.881654688068038
"growth_cat3",-1.27718354891518,0.0957356540567426,-13.3407303840865,1.34138819545445e-40,-1.46482543086639,-1.08954166696396
"growth_cat4",-1.05478704074464,0.0850660856731459,-12.3996188657076,2.62569501727273e-35,-1.22151656866401,-0.888057512825275
"growth_cat5",-1.09791991672324,0.076527521892881,-14.3467329081954,1.11675520968593e-46,-1.24791385963329,-0.947925973813195
"gdp_growth_3years",2.65135126922978,0.561392301367799,4.72281373073681,2.32603873131393e-06,1.55102235854889,3.75168017991066
"inf_cpi_3years",-0.812818459735042,0.33543246876935,-2.42319553237392,0.0153846434487748,-1.47026609852297,-0.155370820947117
"noncore_ratio:income_ratio",-59.920488982555,2.65751014317509,-22.5476049965192,1.41751774476535e-112,-65.1292088631782,-54.7117691019319
