"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-6.5143761921361,0.0923459085996394,-70.5432031686299,0,-6.69537417299139,-6.3333782112808
"noncore_ratio",6.66369923159506,0.109928082112174,60.6187163785429,0,6.4482401906552,6.87915827253492
"income_ratio",-22.2112046909214,1.43658592915716,-15.4611041637813,6.35006341479273e-54,-25.0269131120694,-19.3954962697733
"log_age",-0.290970817407227,0.0143809957165863,-20.2330091143575,5.01473111813162e-91,-0.319157569011737,-0.262784065802718
"growth_cat2",-0.748836863305116,0.0512714480209287,-14.6053386867374,2.5968852256926e-48,-0.849328901426136,-0.648344825184096
"growth_cat3",-0.732433510762514,0.0522084482696741,-14.0290227930018,1.03568833251027e-44,-0.834762069371075,-0.630104952153953
"growth_cat4",-0.525689433148547,0.0475216357767315,-11.0621072813732,1.91543672725855e-28,-0.618831839270941,-0.432547027026153
"growth_cat5",-0.222564560702054,0.0421778973763399,-5.27680549639972,1.31455282357037e-07,-0.30523323955968,-0.139895881844428
"gdp_growth_3years",5.53500509485617,0.34192419480233,16.1878134949065,6.14744876741456e-59,4.86483367304361,6.20517651666874
"inf_cpi_3years",0.253123956171555,0.17533797447924,1.44363454022634,0.148841803651462,-0.0905384738077554,0.596786386150866
"noncore_ratio:income_ratio",-60.5458775771819,2.94891611458798,-20.5315699818207,1.12481358388577e-93,-66.3257531617743,-54.7660019925894
