"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-5.92527511559689,0.0703185564417236,-84.2633213113163,0,-6.06309948622266,-5.78745074497111
"noncore_ratio",6.11791656701471,0.0834425238336591,73.3189300363283,0,5.95436922030073,6.28146391372868
"income_ratio",-20.061868530208,1.31132061569741,-15.2989805010717,7.76636684640967e-53,-22.6320569369749,-17.491680123441
"log_age",-0.293250465175688,0.0111392022794974,-26.3259843764072,9.6697941114659e-153,-0.315083301643503,-0.271417628707873
"growth_cat2",-0.628077949297096,0.0405068684916765,-15.5054679041939,3.18587338261898e-54,-0.707471411540782,-0.54868448705341
"growth_cat3",-0.60102199772992,0.0407388093198345,-14.7530575332083,2.94035905813565e-49,-0.680870063996796,-0.521173931463045
"growth_cat4",-0.33804975316922,0.0369350268437358,-9.1525519826867,5.56041754100245e-20,-0.410442405782942,-0.265657100555498
"growth_cat5",0.0972951240617113,0.032975003647143,2.95057204853838,0.00317186057629431,0.0326641169133111,0.161926131210112
"gdp_growth_3years",4.20888942352092,0.269288630640949,15.6296588292759,4.57244648879699e-55,3.68108370746466,4.73669513957718
"inf_cpi_3years",1.62359080780166,0.12210631883724,13.2965338998205,2.42449621595493e-40,1.38426242288067,1.86291919272265
"noncore_ratio:income_ratio",-53.3814253637563,2.68278583525896,-19.8977587633653,4.25535344176581e-88,-58.6396856008638,-48.1231651266487
